iter	Passed	Remaining
0	0	89
1	1	80
2	2	75
3	2	70
4	3	70
5	4	71
6	5	70
7	6	69
8	6	68
9	7	66
10	8	65
11	8	64
12	9	63
13	10	63
14	11	62
15	11	61
16	12	60
17	13	60
18	13	59
19	14	58
20	15	57
21	16	56
22	16	56
23	17	56
24	18	55
25	19	54
26	19	53
27	20	52
28	21	52
29	21	51
30	22	50
31	23	50
32	24	49
33	24	48
34	25	47
35	26	46
36	27	46
37	27	45
38	28	44
39	29	43
40	30	43
41	30	41
42	31	41
43	31	40
44	32	39
45	33	38
46	33	38
47	34	37
48	35	36
49	36	36
50	36	35
51	37	34
52	38	33
53	38	33
54	39	32
55	40	31
56	40	30
57	41	30
58	42	29
59	43	28
60	44	28
61	44	27
62	45	26
63	46	25
64	46	25
65	47	24
66	48	23
67	49	23
68	49	22
69	50	21
70	51	20
71	51	20
72	52	19
73	53	18
74	54	18
75	54	17
76	55	16
77	56	15
78	56	15
79	57	14
80	58	13
81	59	13
82	59	12
83	60	11
84	61	10
85	62	10
86	62	9
87	63	8
88	64	7
89	65	7
90	65	6
91	66	5
92	67	5
93	68	4
94	68	3
95	69	2
96	70	2
97	70	1
98	71	0
99	72	0
